Ticker,Date,Open,High,Low,Close,Volume
MBB,02/02/2024,21.9,22.0,21.75,21.75,15083600
MBB,02/05/2024,21.75,23.15,21.75,22.95,37093300
MBB,02/06/2024,23.0,23.15,22.95,23.05,11519300
MBB,02/07/2024,23.1,23.7,23.1,23.5,21181800
MBB,02/15/2024,23.7,24.2,23.55,24.15,24091300
MBB,02/16/2024,24.1,24.1,23.7,24.0,16165200
MBB,02/19/2024,24.0,24.1,23.6,23.95,20952600
MBB,02/20/2024,23.85,24.1,23.65,23.85,20313600
MBB,02/21/2024,23.85,24.2,23.7,24.0,24984200
MBB,02/22/2024,24.0,24.1,23.85,23.95,14943900
MBB,02/23/2024,24.0,24.7,23.75,23.9,49051800
MBB,02/26/2024,23.9,24.05,23.65,24.0,21383500
MBB,02/27/2024,24.05,24.45,23.85,24.25,22906700
MBB,02/28/2024,24.35,24.55,24.15,24.4,19275500
MBB,02/29/2024,24.5,24.55,23.95,24.15,24034500
MBB,03/01/2024,24.1,24.15,23.8,24.0,20474600
MBB,03/04/2024,24.1,24.45,23.75,24.2,31949800
MBB,03/05/2024,24.2,24.65,24.1,24.6,22768900
MBB,03/06/2024,24.6,25.15,24.35,24.6,29870100
MBB,03/07/2024,24.7,24.8,24.35,24.4,19759000
MBB,03/08/2024,24.5,24.5,23.6,23.6,49382200
MBB,03/11/2024,23.55,23.6,22.8,22.95,34911300
MBB,03/12/2024,22.9,23.25,22.75,23.1,19120400
MBB,03/13/2024,23.1,23.85,23.1,23.85,15265200
